name,nationality,birth year,company/48 group,48 team,training (months),debut year
chiba erii - 치바 에리이,jp,2003,akb48,A,,2015
sato minami - 사토 미나미,jp,2003,akb48,A,,2016
asai yuka - 아사이 유우카,jp,2003,ske48,E,,2015
umeyama cocona - 우메야마 코코나,jp,2003,nmb48,N,,2016
yabuki nako - 야부키 나코,jp,2001,hkt48,H,,2013
tanaka miku - 타나카 미쿠,jp,2001,hkt48,H,,2013
hitomi honda - 혼다 히토미,jp,2001,akb48,8 + B,,2014
shitao miu - 시타오 미우,jp,2001,akb48,8 + A,,2014
goto moe - 고토 모에,jp,2001,akb48,A,,2013
aramaki misaki - 아라마키 미사키,jp,2001,hkt48,TII,,2013
hasegawa rena - 하세가와 레나,jp,2001,ngt48,NIII,,2015
nagano serika - 나가노 세리카,jp,2001,akb48,4 + B,,2014
nakano ikumi - 나카노 이쿠미,jp,2000,akb48,8 + K,,2014
asai nanami - 아사이 나나미,jp,2000,akb48,4,,2016
murakawa bibian - 무라카와 비비안,jp,1999,hkt48,TII,,2015
yamada noe - 야마다 노에,jp,1999,ngt48,NIII,,2015
uemura azusa - 우에무라 아즈사,jp,1999,nmb48,BII,,2015
ichikawa manami - 이치카와 마나미,jp,1999,akb48,K,,2013
tsukiashi amane - 츠키아시 아마네,jp,1999,hkt48,TII,,2016
miyawaki sakura - 미야와키 사쿠라,jp,1998,hkt48,KIV,,2011
murase sae - 무라세 사에,jp,1997,nmb48,BII,,2011
shiroma miru - 시로마 미루,jp,1997,nmb48,M,,2010
imada mina - 이마다 미나,jp,1997,hkt48,KIV,,2011
kato yuka - 카토 유우카,jp,1997,nmb48,M,,2012
motomura aoi - 모토무라 아오이,jp,1997,hkt48,KIV,,2011
kojima mako - 코지마 마코,jp,1997,akbr48,K,,2012
matsui jurina - 마츠이 쥬리나,jp,1997,ske48,S,,2008
takahashi juri - 타카하시 쥬리,jp,1997,akb48,B,,2011
oda erina - 오다 에리나,jp,1997,akb48,8 + K,,2014
naiki kokoro - 나이키 코코로,jp,1997,nmb48,N,,2013
mogi shinobu - 모기 시노부,jp,1997,akb48,K,,2011
matsuoka natsumi - 마츠오카 나츠미,jp,1996,hkt48,H,,2011
takeuchi miyu - 타케우치 미유,jp,1996,akb48,B,,2009
shinozaki ayana - 시노자키 아야나,jp,1996,akb48,A,,2011
kurihara sae - 쿠리하라 사에,jp,1996,hkt48,TII,,2013
nakanishi chiyori - 나카니시 치요리,jp,1995,akb48,B,,2011
muto tomu - 무토 토무,jp,1994,akb48,K,,2011
iwatate saho - 이와타테 사호,jp,1994,akb48,B,,2011
miyazaki miho - 미야자키 미호,jp,1993,akb48,A,,2007
kang damin - 강다민,kr,2004,wellmade yedang,,11,
yoon eunbin - 윤은빈,kr,2004,cnc,,11,
lee yujeong - 이유정,kr,2004,cnc,,6,
lee haeun - 이하은,kr,2004,mnh,,28,
jang wonyoung - 장원영,kr,2004,starship,,14,
kim sohee - 김소희,kr,2003,woollim,,8,
kim dayeon - 김다연,kr,2003,cnc,,8,
kim doa - 김도아,kr,2003,fent,,14,
ahn yujin - 안유진,kr,2003,starship,,16,
cho kahyeon - 조가현,kr,2003,starship,,20,
cho sarang - 조사랑,kr,2003,million market,,6,
kim nayoung - 김나영,kr,2002,banana culture,,19,
kim dahye - 김다혜,kr,2002,banana culture,,13,
kim minseo - 김민서,kr,2002,how,,7,
kim yubin - 김유빈,kr,2002,cnc,,12,
han chowon - 한초원,kr,2002,cube,,22,
hong yeji - 홍예지,kr,2002,cnc,,11,
kim sooyoon - 김수윤,kr,2001,woollim,,9,
choi soeun - 최소은,kr,2001,music works,,10,
cho youngin - 조영인,kr,2001,wm,,10,
lee seunghyun - 이승현,kr,2001,wm,,29,
kim minju - 김민주,kr,2001,urban works,,34,
kim choyeon - 김초연,kr,2001,a team,,18,
ahn yewon - 안예원,kr,2001,yg kplus,,4,
cho ayeong - 조아영,kr,2001,fnc,,19,
jo yuri - 조유리,kr,2001,stone,,9,
huh yunjin - 허윤진,kr,2001,pledis,,6,
kim chaewon - 김채원,kr,2000,woollim,,11,
go yujin - 고유진,kr,2000,blockberry creative,,32,
lee chaeyeon - 이채연,kr,2000,wm,,49,
wang yiren - 왕이런,kr,2000,yuehua,,16,
wang ke - 왕크어,kr,2000,how,,8,
won seoyeon - 원서연,kr,2000,mmo,,7,
yu minyeong - 유민영,kr,2000,how,,6,
hwang soyeon - 황소연,kr,2000,wellmade yedang,,12,
kang hyewon - 강혜원,kr,1999,8d creative,,9,
kim sihyun - 김시현,kr,1999,yuehua,,26,
na goeun - 나고은,kr,1999,rbw,,12,
park minji - 박민지,kr,1999,mnd17,,28,
park seoyoung - 박서영,kr,1999,individual,,96,
park chanju - 박찬주,kr,1999,mnd17,,25,
son eunchae - 손은채,kr,1999,million market,,6,
lee sian - 이시안,kr,1999,stone,,9,
lee chaejeong - 이채정,kr,1999,mnd17,,42,
choi yeonsu - 최소은,kr,1999,yg kplus,,4,
choi yena - 최예나,kr,1999,yuehua,,41,
park jinny - 박진희,kr,1998,individual,,60,
yoon haesol - 윤해솔,kr,1997,music works,,40,
park jieun - 박지은,kr,1997,rbw,,49,
bae eunyeong - 배은영,kr,1997,stone,,9,
jang gyuri - 장규리,kr,1997,stone,,9,2018
park haeyoon - 박해윤,kr,1996,fnc,,46,
shin suhyun - 신수현,kr,1996,fave,,11,
alex christine - 알렉스 크리스틴,kr,1996,zlabel,,35,
kwon eunbi - 권은비,kr,1995,woollim,,66,
kim hyuna - 김현아,kr,1995,collazoo company,,66,
lee kaeun - 이가은,kr,1994,pledis,,81,2012